epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,586.592,1.1156,1.20766,1.00544,0.94095,0.23077,0.37719,0.20424,1.86508,2.3076,1.281,0.00131593,0.00131593,0.00131593
62,596.567,1.23613,1.22581,1.24741,0.63618,0.46154,0.49477,0.24628,1.93547,2.071,1.34178,0.00129614,0.00129614,0.00129614
63,606.764,1.08834,1.20334,1.08117,0.65998,0.69231,0.73535,0.32859,2.02874,1.84749,1.39582,0.00127623,0.00127623,0.00127623
64,616.813,0.96699,0.96335,1.06257,0.68495,0.53846,0.64,0.26813,2.21361,1.86017,1.4712,0.0012562,0.0012562,0.0012562
65,627.182,0.66234,1.98102,0.70412,0.68495,0.53846,0.64,0.26813,2.21361,1.86017,1.4712,0.00123607,0.00123607,0.00123607
66,637.352,1.02135,0.95352,0.99983,0.67882,0.81409,0.75142,0.30345,2.2382,1.81699,1.47974,0.00121583,0.00121583,0.00121583
67,648.133,1.01744,1.33149,1.09036,0.50421,0.53846,0.52648,0.21753,2.37101,1.8891,1.52746,0.00119551,0.00119551,0.00119551
68,660.289,1.10671,1.01435,1.07629,0.43642,0.46154,0.39818,0.19228,2.45577,2.0182,1.54585,0.0011751,0.0011751,0.0011751
69,671.852,1.05113,1.18448,1.10133,0.43642,0.46154,0.39818,0.19228,2.45577,2.0182,1.54585,0.00115462,0.00115462,0.00115462
70,682.884,1.03554,1.03785,1.02797,0.5533,0.46154,0.52087,0.21782,2.46346,2.05039,1.52242,0.00113408,0.00113408,0.00113408
71,693.698,0.68189,1.91933,0.6849,0.77581,0.53301,0.61707,0.26075,2.38142,1.9574,1.47402,0.00111348,0.00111348,0.00111348
72,703.967,1.93515,2.10326,1.31649,0.77229,0.52328,0.64318,0.28732,2.2174,1.83763,1.40034,0.00109284,0.00109284,0.00109284
73,713.606,1.62172,1.52395,1.69771,0.77229,0.52328,0.64318,0.28732,2.2174,1.83763,1.40034,0.00107216,0.00107216,0.00107216
74,724.529,0.94138,0.93636,0.9657,0.71346,0.84615,0.70515,0.28024,2.1742,1.67522,1.3381,0.00105146,0.00105146,0.00105146
75,735.26,1.1431,0.96611,1.06696,0.76762,0.84615,0.72507,0.24882,2.36175,1.73723,1.48953,0.00103073,0.00103073,0.00103073
76,744.709,0.95236,0.96588,1.11424,0.77827,0.84615,0.75475,0.23508,2.38867,1.79138,1.56421,0.00101,0.00101,0.00101
77,753.891,1.34018,1.11344,1.29038,0.77827,0.84615,0.75475,0.23508,2.38867,1.79138,1.56421,0.000989267,0.000989267,0.000989267
78,763.405,1.09294,0.91534,0.99711,0.82535,0.84615,0.75871,0.21926,2.33766,1.70511,1.56192,0.000968543,0.000968543,0.000968543
79,773.284,0.88557,1.05537,0.91591,0.83393,0.84615,0.76029,0.23503,2.25252,1.54763,1.53485,0.000947837,0.000947837,0.000947837
80,783.009,1.06672,1.1619,1.12189,0.88094,0.84615,0.89033,0.26126,2.22865,1.46937,1.51468,0.000927159,0.000927159,0.000927159
81,793.599,0.99635,0.88707,1.00631,0.88094,0.84615,0.89033,0.26126,2.22865,1.46937,1.51468,0.000906517,0.000906517,0.000906517
82,804.499,0.98379,0.91331,0.96628,0.85701,0.92213,0.91083,0.26527,2.16196,1.41969,1.47666,0.00088592,0.00088592,0.00088592
83,814.476,1.15927,0.9211,0.91381,0.75324,0.94001,0.87053,0.29739,2.1026,1.40913,1.43001,0.000865378,0.000865378,0.000865378
84,824.514,0.96786,0.91076,1.02861,0.7081,0.92308,0.85341,0.32286,2.08104,1.41781,1.39549,0.000844899,0.000844899,0.000844899
85,834.74,0.9022,0.83939,0.97538,0.7081,0.92308,0.85341,0.32286,2.08104,1.41781,1.39549,0.000824492,0.000824492,0.000824492
86,845.452,0.84328,0.77194,0.98419,0.84191,0.8207,0.84178,0.31346,2.04002,1.46146,1.36005,0.000804167,0.000804167,0.000804167
87,856.036,0.5966,1.68715,0.67001,0.70379,0.92308,0.85856,0.31356,2.03715,1.4664,1.37186,0.000783933,0.000783933,0.000783933
88,866.007,1.08693,0.97948,1.06543,0.66913,0.92308,0.85474,0.34653,2.05953,1.47288,1.37135,0.000763797,0.000763797,0.000763797
89,876.707,0.92527,0.92181,1.01192,0.66913,0.92308,0.85474,0.34653,2.05953,1.47288,1.37135,0.000743769,0.000743769,0.000743769
90,887.815,0.9858,0.95444,0.91784,0.67987,0.98097,0.86139,0.35846,2.03501,1.45462,1.35294,0.000723859,0.000723859,0.000723859
91,897.214,1.07969,1.1274,1.3137,0.7548,0.92308,0.87556,0.34219,2.04098,1.39077,1.3641,0.000704073,0.000704073,0.000704073
92,906.432,1.23265,1.0127,1.00554,0.76671,0.75915,0.80126,0.34469,2.06446,1.38693,1.38198,0.000684422,0.000684422,0.000684422
93,916.059,0.80908,0.78046,0.96678,0.76671,0.75915,0.80126,0.34469,2.06446,1.38693,1.38198,0.000664914,0.000664914,0.000664914
